fidelity_v2,source_id
1.0,2099080642186916480
1.0,2099172485765994624
1.0,2099172313967305856
1.0,2099130425148757248
1.0,2099130979202197376
1.0,2051101906123017728
1.0,2051085825765600896
1.0,2052587552489320320
1.0,2052587758647794176
1.0,2052586899654344576
1.0,2052586590416679552
1.0,2052540926323193600
1.0,2052540685805056768
1.0,2052532095870310400
1.0,2052531339956079616
1.0,2052528625536778624
1.0,2052552574274906880
1.0,2052553192750215936
1.0,2051807723869907200
1.0,2051803703780571392
1.0,2051793705097374336
1.0,2051886819987002368
1.0,2051840709216446848
1.0,2051851601253902464
1.0,2051664508177693952
1.0,2051664684280725248
1.0,2051652933250197376
1.0,2099096065408184064
1.0,2099097852114662656
1.0,2099097547178132480
1.0,2099097615897640320
1.0,2099175578142340480
1.0,2099176299696950016
1.0,2099177777165704320
1.0,2099175200185317888
1.0,2099176918172256512
1.0,2099172657564721792
1.0,2099173894515329024
1.0,2099173997594553216
1.0,2099131769476164096
1.0,2099129536093952000
1.0,2099153519190711040
1.0,2099152488398565888
1.0,2051290919043679232
1.0,2051105410816218368
1.0,2051104620542265984
1.0,2051103108713923968
1.0,2052604629279232256
1.0,2052591950535834624
1.0,2052547592112506624
1.0,2052548141868348800
1.0,2052545599247726464
1.0,2052549069581326464
1.0,2052545732385322624
1.0,2052545839765924480
1.0,2052545015132195072
1.0,2052555563572131456
1.0,2052554360981318912
1.0,2052553879945014400
1.0,2051809785454317952
1.0,2051806555638915456
1.0,2051805765364937984
1.0,2051899945406589056
1.0,2051887472821600512
1.0,2051885686115115264
1.0,2051844351348642816
1.0,2051844901104525952
1.0,2051844969824025728
1.0,2051842461563192320
1.0,2051864932832352256
1.0,2051849127352797184
1.0,2051849127352793088
1.0,2051851292016428416
1.0,2052030168818463232
1.0,2052027282600467968
1.0,2099849269532702080
1.0,2099099230805375872
1.0,2099193101608917760
1.0,2099098440531398912
1.0,2099192311334946176
1.0,2099192173896020736
1.0,2099188325605372288
1.0,2099183583961614208
1.0,2099180457225448448
1.0,2099179323354076416
1.0,2099143073830408960
1.0,2051292671388138880
1.0,2051292568309367680
1.0,2051294148857011712
1.0,2051295317088301440
1.0,2051107472400670720
1.0,2051106853925428736
1.0,2052593977760487808
1.0,2052606274244656768
1.0,2052593634163105408
1.0,2052599303520043904
1.0,2052549825495625472
1.0,2052550203452707712
1.0,2052569822863708544
1.0,2052564187866764160
1.0,2052564153507071872
1.0,2051811159843850112
1.0,2051905339885506944
1.0,2051904652690754560
1.0,2051900323363729664
1.0,2051901491594852608
1.0,2051895959677202944
1.0,2051869090360684800
1.0,2051869193439946752
1.0,2051865104631062656
1.0,2051854380091914752
1.0,2051857816065976960
1.0,2051670319277787520
1.0,2052042499660358400
1.0,2099862601111088896
1.0,2099862979068219904
1.0,2099862875989024128
1.0,2099859268216511488
1.0,2099853152183095040
1.0,2099853633219468416
1.0,2099944892683616128
1.0,2099195300632995200
1.0,2099185920423939968
1.0,2099182759328038272
1.0,2099158089035962624
1.0,2099150839131475840
1.0,2051297206873964928
1.0,2051296725837588352
1.0,2051295901203883008
1.0,2052797421769138560
1.0,2052797593567875456
1.0,2052600884068060672
1.0,2052598753764370432
1.0,2052621465551713408
1.0,2052572296764998784
1.0,2052577210207618176
1.0,2052566249451201024
1.0,2052563122715102464
1.0,2052563535031944448
1.0,2051905649123134464
1.0,2051905030647886976
1.0,2051901903911744640
1.0,2051908878938756480
1.0,2051908604060863872
1.0,2051896028396680960
1.0,2051896097116178816
1.0,2051870808348062976
1.0,2051871426823041152
1.0,2051871839139938688
1.0,2051871804780206848
1.0,2051873763285340288
1.0,2051862699449699968
1.0,2052046592773298944
1.0,2052047142529158400
1.0,2052043431677505792
1.0,2099863906781162112
1.0,2099866926140833792
1.0,2099866243243446272
1.0,2099865964068133120
1.0,2099867651992787584
1.0,2099949599962717056
1.0,2099194991394723968
1.0,2099200935629499520
1.0,2099199045844004736
1.0,2099186985575827072
1.0,2099198770966605696
1.0,2099186676338195968
1.0,2099186676338195840
1.0,2099209663003232000
1.0,2099206433187841536
1.0,2099207116082429824
1.0,2099207292181377280
1.0,2099207979376216704
1.0,2099159807023048704
1.0,2099151285808129024
1.0,2099523367413437824
1.0,2051310229214455808
1.0,2051309194119858816
1.0,2051311500524964096
1.0,2051300677207448448
1.0,2052801854175410816
1.0,2052798693079507712
1.0,2052611054550521728
1.0,2052613700250416128
1.0,2052603289249808000
1.0,2052603254890083200
1.0,2052625485641092736
1.0,2052574873745299968
1.0,2052578137920627328
1.0,2052657062239880064
1.0,2051907229671264768
1.0,2051909806651712768
1.0,2051872212797046528
1.0,2051878230051585920
1.0,2051875446912592000
1.0,2051875412552841984
1.0,2051878504929507328
1.0,2051875481272342016
1.0,2051863386644553984
1.0,2052235468252477312
1.0,2052235777490149632
1.0,2052236739562887296
1.0,2052054083196424832
1.0,2052013779222672128
1.0,2052012610991236352
1.0,2052018830106176896
1.0,2099872737234056704
1.0,2099872153118529536
1.0,2099950355882050816
1.0,2099948328657535360
1.0,2099953345179354240
1.0,2099202825415721088
1.0,2099208288613853440
1.0,2099208391693106688
1.0,2099166953848678528
1.0,2099528177776846208
1.0,2099529277288569216
1.0,2099524776162690944
1.0,2051361631384520320
1.0,2051316340949875584
1.0,2051316448327213696
1.0,2051314592901555584
1.0,2051314455462637312
1.0,2051313733908151296
1.0,2052802846308142464
1.0,2052801270059972352
1.0,2052618098297114752
1.0,2052617681678942592
1.0,2052619541406162304
1.0,2052619644485405568
1.0,2052616586468670976
1.0,2052639229536489088
1.0,2052627341067251328
1.0,2051914513935889280
1.0,2051915544728123392
1.0,2051916025764516736
1.0,2051911593358322176
1.0,2051923344389154816
1.0,2051920595610224512
1.0,2051878539289251200
1.0,2052252167085339136
1.0,2052240003737956352
1.0,2052238320110893440
1.0,2052055045269120128
1.0,2052018280348439296
1.0,2099922455775892480
1.0,2099873115191679232
1.0,2099872840313773440
1.0,2099951970789771648
1.0,2099954513410473984
1.0,2099204405963693312
1.0,2099204990079253376
1.0,2099227598787115520
1.0,2099224472050934528
1.0,2099213339495390208
1.0,2099218630895193088
1.0,2099218630895194112
1.0,2099545082768097152
1.0,2099541371916379264
1.0,2099529998843062912
1.0,2099530342440492800
1.0,2099530273721015680
1.0,2099529483447024128
1.0,2051361803183234176
1.0,2051367678698540544
1.0,2051318716070168576
1.0,2052816216546052992
1.0,2052818003252517376
1.0,2052818037612265216
1.0,2052817277398429952
1.0,2052816800661663872
1.0,2052810753347820928
1.0,2052810753347820416
1.0,2052807351733710080
1.0,2052807794117101312
1.0,2052639573133867520
1.0,2052631876552612992
1.0,2052585216026777600
1.0,2052585731422900352
1.0,2052679705307352192
1.0,2052585593983976192
1.0,2052678949393190016
1.0,2052676887808994816
1.0,2051940524258653824
1.0,2051937638040413952
1.0,2051927948594301312
1.0,2051928601429382528
1.0,2051881047550189824
1.0,2052257149247652224
1.0,2052257355406092160
1.0,2052255018943928320
1.0,2052252613761976704
1.0,2052242168401550336
1.0,2052244161266448896
1.0,2052071331785826304
1.0,2052112907067847808
1.0,2099932729337805184
1.0,2099930839552040448
1.0,2099924757878434560
1.0,2099967810629478016
1.0,2099230686864056960
1.0,2099231653236005248
1.0,2099221173515955200
1.0,2099217119066826368
1.0,2099217119066831616
1.0,2099546628956463872
