KIC,source_id
2018930,2051819921574463360
2019316,2051818650264172032
2019481,2051819440538228352
2020185,2051821570842126080
2020498,2051633691795826176
2020638,2051633416917919360
2020830,2051635066185382656
2021157,2051658259009408896
2021440,2051658048546306304
2140621,2099089060322561792
2140651,2099088648005681536
2140909,2099086105385109888
2141003,2099084799715020800
2141150,2099090950108265216
2141193,2099091087547239552
2141781,2099076931335095808
2142091,2099075999323003520
2142372,2099122767224469504
2142451,2099122114390514944
2156545,2051085379088881792
2156718,2051085619607113600
2156807,2051084210857805568
2156848,2051085001131858816
2157184,2051037481612144896
2157356,2052538658580396160
2157676,2052538177544090368
2157986,2052536803154591104
2158543,2052536047240144896
2159486,2052527938341973504
2160105,2051776593946374400
2161536,2051797274209237376
2161569,2051796694393841664
2161648,2051797415948373120
2162268,2051790750159187456
2163101,2051789547568156544
2163610,2051835314737106176
2163634,2051835005499426560
2165002,2051832634677771008
2166534,2051823907304498560
2167693,2051657193857592064
2168638,2051662863214226560
2282652,2099839580086371840
2282663,2099839167769193472
2282783,2099840817036639488
2282944,2099089781877063296
2283092,2099090537791384064
2283749,2099091602943360768
2283892,2099079542675199488
2284116,2099081707338795136
2284312,2099080642186916480
2284882,2099172485765994624
2284919,2099172313967305856
2285481,2099130425148757248
2285598,2099130979202197376
2298664,2051101906123017728
2299540,2051085825765600896
2299823,2052587552489320320
2299892,2052587758647794176
2300039,2052586899654344576
2300096,2052586590416679552
2300440,2052540926323193600
2300770,2052540685805056768
2301872,2052532095870310400
2302108,2052531339956079616
2302548,2052528625536778624
2302997,2052552574274906880
2303311,2052553192750215936
2304140,2051807723869907200
2304757,2051803703780571392
2305283,2051793705097374336
2305760,2051886819987002368
2308103,2051840709216446848
2309152,2051851601253902464
2311350,2051664508177693952
2311508,2051664684280725248
2311578,2051652933250197376
2422714,2099096065408184064
2422906,2099097852114662656
2422920,2099097547178132480
2423052,2099097615897640320
2423549,2099175578142340480
2423813,2099176299696950016
2423839,2099177777165704320
2423938,2099175200185317888
2423951,2099176918172256512
2424289,2099172657564721792
2424302,2099173894515329024
2424309,2099173997594553216
2424688,2099131769476164096
2425184,2099129536093952000
2425407,2099153519190711040
2425537,2099152488398565888
2435893,2051290919043679232
2438264,2051105410816218368
2438588,2051104620542265984
2439094,2051103108713923968
2439496,2052604629279232256
2439966,2052591950535834624
2441409,2052547592112506624
2441562,2052548141868348800
2441891,2052545599247726464
2441989,2052549069581326464
2442004,2052545732385322624
2442165,2052545839765924480
2442210,2052545015132195072
